year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_recovered,total_recovered,new_death,total_death,case_foreign,case_prison,case_walkin,case_new_prev,case_new_diff,death_new_prev,death_new_diff
2022,4,อุตรดิตถ์,51,334,51,333,0,0,0,2,,,,,,,
2022,4,อุทัยธานี,102,420,102,420,0,0,0,3,,,,,,,
2022,4,อุบลราชธานี,971,7350,970,7334,0,0,3,11,,,,,,,
2022,4,เชียงราย,176,898,176,873,0,0,2,11,,,,,,,
2022,4,เชียงใหม่,853,4863,840,4800,0,0,7,24,,,,,,,
2022,4,เพชรบุรี,291,1054,290,1042,0,0,0,3,,,,,,,
2022,4,เพชรบูรณ์,294,1049,294,1046,0,0,2,5,,,,,,,
2022,4,เลย,737,1657,737,1656,0,0,1,4,,,,,,,
2022,4,แพร่,172,484,170,480,0,0,0,2,,,,,,,
2022,4,แม่ฮ่องสอน,75,398,75,398,0,0,1,7,,,,,,,
2022,4,ไม่ระบุ,0,0,0,0,0,0,0,0,,,,,,,
2022,5,กระบี่,462,1960,452,1768,0,0,1,7,,,,,,,
2022,5,กรุงเทพมหานคร,9902,35804,9806,34796,0,0,26,76,,,,,,,
2022,5,กาญจนบุรี,649,2424,649,2423,0,0,3,10,,,,,,,
2022,5,กาฬสินธุ์,359,1898,359,1896,0,0,9,18,,,,,,,
2022,5,กำแพงเพชร,223,992,223,989,0,0,0,2,,,,,,,
2022,5,ขอนแก่น,1165,8096,1164,8081,0,0,4,13,,,,,,,
2022,5,จันทบุรี,519,1983,519,1980,0,0,1,5,,,,,,,
2022,5,ฉะเชิงเทรา,780,3124,780,3119,0,0,0,4,,,,,,,
2022,5,ชลบุรี,3096,20317,3059,19521,0,0,4,24,,,,,,,
2022,5,ชัยนาท,139,548,139,548,0,0,0,0,,,,,,,
2022,5,ชัยภูมิ,592,1780,592,1779,0,0,1,6,,,,,,,
2022,5,ชุมพร,493,1916,493,1916,0,0,2,6,,,,,,,
2022,5,ตรัง,212,1177,212,1170,0,0,2,10,,,,,,,
2022,5,ตราด,125,821,124,764,0,0,3,6,,,,,,,
2022,5,ตาก,326,1228,325,1218,0,0,1,9,,,,,,,
2022,5,ทั้งประเทศ,62032,262687,60611,254642,57382,206894,126,573,1421,312,60021,60160,1872,124,2
2022,5,นครนายก,355,1257,355,1257,0,0,3,5,,,,,,,
2022,5,นครปฐม,966,3363,966,3363,0,0,1,4,,,,,,,
2022,5,นครพนม,239,1089,239,1088,0,0,1,1,,,,,,,
2022,5,นครราชสีมา,1275,4687,1275,4684,0,0,2,21,,,,,,,
2022,5,นครศรีธรรมราช,1127,5559,1127,5558,0,0,1,9,,,,,,,
2022,5,นครสวรรค์,459,2163,459,2157,0,0,1,7,,,,,,,
2022,5,นนทบุรี,3022,11773,3021,11754,0,0,1,3,,,,,,,
2022,5,นราธิวาส,45,307,45,305,0,0,0,0,,,,,,,
2022,5,น่าน,542,1948,542,1948,0,0,1,2,,,,,,,
2022,5,บึงกาฬ,163,610,163,606,0,0,0,1,,,,,,,
2022,5,บุรีรัมย์,648,3817,648,3812,0,0,1,8,,,,,,,
2022,5,ปทุมธานี,1268,6223,1268,6212,0,0,3,11,,,,,,,
2022,5,ประจวบคีรีขันธ์,463,2345,459,2247,0,0,0,3,,,,,,,
2022,5,ปราจีนบุรี,527,1862,527,1860,0,0,2,9,,,,,,,
2022,5,ปัตตานี,125,626,125,624,0,0,1,10,,,,,,,
2022,5,พระนครศรีอยุธยา,773,2806,773,2806,0,0,6,9,,,,,,,
2022,5,พะเยา,162,909,162,909,0,0,0,0,,,,,,,
2022,5,พังงา,450,2460,434,2279,0,0,4,6,,,,,,,
2022,5,พัทลุง,652,2872,652,2872,0,0,0,8,,,,,,,
2022,5,พิจิตร,176,641,176,641,0,0,0,0,,,,,,,
2022,5,พิษณุโลก,384,2076,384,2076,0,0,2,14,,,,,,,
2022,5,ภูเก็ต,3868,17111,2706,12427,0,0,5,12,,,,,,,
2022,5,มหาสารคาม,850,2875,850,2868,0,0,3,4,,,,,,,
